order_id,num_products,kg,un,lat_x,lng_x,promised_time,on_demand,seniority,found_rate,picking_speed,accepted_rate,rating,lat_y,lng_y
2094b3e481d4ee665c9c412b5c36c354,20,1.77,32.0,-36.8446909505871,-73.09496361762291,2019-10-19 00:17:00+00:00,True,6c90661e6d2c7579f5ce337c3391dbb9,0.8864,1.39,0.96,4.84,-36.828629,-73.060345
3506019b70063aaffac8c2c44f2283bc,62,5.68,132.0,-29.9445333,-71.29005490000002,2019-10-18 22:00:00+00:00,False,6c90661e6d2c7579f5ce337c3391dbb9,0.8664,1.6,0.96,4.96,-29.949185999999997,-71.2685293
c0a537121b18d10bfc0c3d15477cb68c,30,1.8,49.0,-33.26117626515,-70.62911569012451,2019-10-19 18:38:00+00:00,True,6c90661e6d2c7579f5ce337c3391dbb9,0.8627,1.3,1.0,4.92,-33.276853499999994,-70.628167
3ac4d80fde18be0b7bdfbdde3afca093,16,,31.0,-33.4135208,-70.5862205,2019-10-19 14:00:00+00:00,False,50e13ee63f086c2fe84229348bc91b5b,0.831,2.07,0.56,4.56,-33.3865471,-70.5680753
5b414b30175215846eebfafc49349f0d,23,0.6679999999999999,36.0,-33.3291310236469,-70.5373729415585,2019-10-18 21:35:00+00:00,True,50e13ee63f086c2fe84229348bc91b5b,0.8632,1.25,0.84,4.88,-33.370765000000006,-70.51241999999999
35d0528d7d261f201c83cf3b655db3a2,32,4.139,49.0,-33.0269998,-71.5555219,2019-10-19 16:08:00+00:00,True,6c90661e6d2c7579f5ce337c3391dbb9,0.8929,1.13,1.0,4.88,-33.025859999999994,-71.547009
59eb06505898d2bb310623615c6efb7c,39,2.344,50.0,-33.3537145829765,-70.6681418572466,2019-10-19 16:00:00+00:00,False,6c90661e6d2c7579f5ce337c3391dbb9,0.7636,1.79,1.0,5.0,-33.364106,-70.679271
357192720d62322077a521f924041c8f,16,,42.0,-33.3798919021616,-70.5579674224041,2019-10-18 20:00:00+00:00,True,6c90661e6d2c7579f5ce337c3391dbb9,0.8853,1.09,0.92,4.96,-33.3865471,-70.5680753
7baf4312eb11792f22f0082c18fa2ca5,9,,11.0,-33.4021933,-70.5865639,2019-10-18 21:00:00+00:00,False,50e13ee63f086c2fe84229348bc91b5b,0.8463,1.75,0.76,4.76,-33.3865471,-70.5680753
d81bae280da1af8edf7fbe485eb86f9c,27,4.546,40.0,-33.3618304,-70.5224521,2019-10-18 20:42:00+00:00,True,6c90661e6d2c7579f5ce337c3391dbb9,0.9095,1.15,0.88,4.56,-33.357558000000004,-70.515415
